name,code
Atrytonopsis python,ATRYPYT
Atrytonopsis vierecki,ATRYVIE
Autochton sp.,AUT-SP
Autochton cellus,AUTCEL
Autochton cincta,AUTCIN
Autochton pseudocellus,AUTPSE
Battus sp.,BAT-SP
Battus philenor,BATPHI
Battus polydamas,BATPOL
Butterfly sp.,BFLY
Biblis hyperia,BIBHYP
Bolla sp.,BOL-SP
Bolla brennus,BOLBRE
Bolla clytius,BOLCLY
Boloria sp.,BOLO-SP
Boloria alberta,BOLOALB
Boloria astarte,BOLOAST
Boloria astarte distincta,BOLOAST
Boloria bellona,BOLOBEL
Boloria chariclea,BOLOCHA
Boloria epithore,BOLOEPI
Boloria eunomia,BOLOEUN
Boloria freija,BOLOFRE
Boloria frigga,BOLOFRI
Boloria improba,BOLOIMP
Boloria improba harryi,BOLOIMP
Boloria kriemhild,BOLOKRI
Boloria montinus,BOLOMON
Boloria napaea,BOLONAP
Boloria natazhati,BOLONAT
Boloria polaris,BOLOPOL
Boloria selene,BOLOSEL
Brephidium sp.,BRE-SP
Brephidium exile,BREEXI
Brephidium isophthalma,BREISO
Colias philodice/eurytheme,C-COL
Cabares potrillo,CABPOT
Calephelis sp.,CAL-SP
Calephelis arizonensis,CALARI
Calephelis borealis,CALBOR
Callophrys sp.,CALL-SP
Callophrys augustinus,CALLAUG
Callophrys dumetorum,CALLDUM
Callophrys dumetorum dumetorum,CALLDUM
Callophrys dumetorum viridis,CALLDUM
Callophrys dumetorum apama,CALLDUM
Callophrys dumetorum affinis,CALLDUM
Callophrys eryphon,CALLERY
Callophrys fotis,CALLFOT
Callophrys gryneus,CALLGRY
Callophrys gryneus gryneus,CALLGRY
Callophrys gryneus sweadneri,CALLGRY
Callophrys gryneus siva,CALLGRY
Callophrys gryneus nelsoni,CALLGRY
Callophrys gryneus muiri,CALLGRY
Callophrys gryneus loki,CALLGRY
Callophrys gryneus thornei,CALLGRY
Callophrys henrici,CALLHEN
Callophrys hesseli,CALLHES
Callophrys irus,CALLIRU
Callophrys johnsoni,CALLJOH
Callophrys lanoraieensis,CALLLAN
Callophrys mcfarlandi,CALLMCF
Callophrys mossii,CALLMOS
Callophrys niphon,CALLNIP
Callophrys polios,CALLPOL
